"NAME","STATE","COUNTY","TRACT","POP_TOT","HH_TOT","M_TOT","F_TOT","AGE_MED","AGE_MED_M","AGE_MED_F","RACE_WHITE","RACE_BLACK","RACE_AMERINDIAN","RACE_ASIAN","RACE_HAWAIIPACISL","RACE_OTHER","RACE_MULTIPLE","ORIGIN_NONHISPANIC","ORIGIN_HISPANIC","CITIZEN_US_US","CITIZEN_US_ISLAND","CITIZEN_US_ABROAD","CITIZEN_US_NATURALIZED","CITIZEN_NONUS","MOVED_ABROAD","MOVED_DCTYSST","MOVED_SCTY","MOVED_DST","MOVED_NOMOVE","SNAP_HHYES","SNAP_HHNO","MARRIAGE_NEVER_M","MARRIAGE_NOW_M","MARRIAGE_WIDOWED_M","MARRIAGE_DIVORCED_M","MARRIAGE_NEVER_F","MARRIAGE_NOW_F","MARRIAGE_WIDOWED_F","MARRIAGE_DIVORCED_F","SCHOOL_ENR","SCHOOL_ENR_NURSERY","SCHOOL_ENR_KINDER","SCHOOL_ENR_1TO4","SCHOOL_ENR_5TO8","SCHOOL_ENR_9TO12","SCHOOL_ENR_UG","SCHOOL_ENR_GRAD","SCHOOL_NOTENR","EDATT_M","EDATT_HSGED_M","EDATT_LESS1YRCOLL_M","EDATT_COLLNODEG_ML","EDATT_ASSOC_M","EDATT_BACH_M","EDATT_MASTER_M","EDATT_PROF_M","EDATT_DOCT_M","EDATT_F","EDATT_HSGED_F","EDATT_LESS1YRCOLL_F","EDATT_COLLNODEG_F","EDATT_ASSOC_F","EDATT_BACH_F","EDATT_MASTER_F","EDATT_PROF_F","EDATT_DOCT_F","INC_HH_MED","GINI","LABORFORCE_IN_CIVILIAN_EMPLOYED","LABORFORCE_IN_CIVILIAN_UNEMPLOYED","LABORFORCE_IN_ARMED","LABORFORCE_OUT","HOUSINGCOST_MONTH_MED","IND_AFFHM","IND_CONSTRUCTION","IND_MANUFACTURING","IND_WT","IND_RT","IND_TWU","IND_INFO","IND_FIRRL","IND_PSMAWMS","IND_ESHCSA","IND_AERAF","IND_OTHER","IND_PA","OCC_MBSA","OCC_SERVICE","OCC_SO","OCC_NRCM","OCC_PTMM","YEAR","GEOID"
"Census Tract 9701, Cortland County, New York","36","023","970100",1079,428,2177,1803,39.7,39.2,41.5,3784,98,20,21,0,33,24,3877,103,3871,0,9,43,57,0,90,139,19,3688,230,815,534,940,70,150,388,883,144,103,1020,48,40,188,275,347,99,23,2841,1361,632,87,85,105,138,31,6,11,1201,547,59,141,148,107,85,3,6,47628,0.3971,1837,177,0,1078,752,162,207,302,66,200,93,8,71,86,385,120,79,58,447,319,411,269,391,2011,"36023970100"
"Census Tract 9702, Cortland County, New York","36","023","970200",873,379,2924,3012,37.2,39.7,33.2,5852,13,7,4,0,0,60,5906,30,5882,20,26,6,2,0,337,186,4,5401,380,1281,669,1320,72,262,667,1221,157,259,1740,105,97,350,440,458,248,42,4019,1957,728,88,268,279,259,46,25,17,1948,798,93,192,275,196,175,18,21,51336,0.3719,2858,260,0,1304,822,103,192,432,29,349,121,89,109,269,699,246,92,128,845,612,587,400,414,2011,"36023970200"
"Census Tract 9703, Cortland County, New York","36","023","970300",278,127,1418,1852,40.4,40.1,40.9,3105,20,24,109,0,8,4,3262,8,3123,0,0,135,12,0,50,142,26,3033,32,670,366,755,0,81,363,695,178,189,784,64,16,251,172,95,171,15,2418,1009,226,44,154,118,214,127,7,25,1217,361,56,192,120,235,170,19,0,66750,0.4241,1826,121,3,641,924,27,81,209,55,269,35,10,58,77,639,95,44,227,770,219,569,136,132,2011,"36023970300"
"Census Tract 9704, Cortland County, New York","36","023","970400",463,189,1361,1572,43.4,44.6,42.8,2805,25,20,49,0,18,16,2885,48,2889,0,0,13,31,3,18,224,0,2651,211,462,177,726,50,159,254,762,164,115,720,67,27,141,173,172,138,2,2132,1006,435,26,101,130,154,32,9,0,1109,412,37,167,155,109,82,30,15,52096,0.4122,1389,123,3,828,799,7,90,218,48,179,39,0,37,68,402,137,40,124,491,245,346,75,232,2011,"36023970400"
"Census Tract 9705, Cortland County, New York","36","023","970500",297,137,1657,1919,38.3,36.7,38.6,3494,6,0,39,0,0,37,3469,107,3522,2,9,12,31,56,136,450,29,2892,157,512,651,534,30,201,730,500,236,193,956,82,36,166,81,173,402,16,2523,1136,370,114,116,137,163,53,32,26,1253,371,105,145,132,176,191,4,0,41131,0.4247,1661,148,0,1266,735,0,45,151,0,250,38,11,24,203,605,186,85,63,613,372,388,103,185,2011,"36023970500"
"Census Tract 9706, Cortland County, New York","36","023","970600",245,137,1474,1405,38.5,34.4,43.4,2843,26,0,0,0,0,10,2828,51,2831,0,8,39,1,1,183,378,35,2262,184,194,609,337,63,224,509,407,200,209,478,58,0,134,52,49,113,72,2363,918,404,110,102,76,60,28,9,3,1029,365,64,72,113,197,51,0,0,29519,0.4082,1480,200,0,878,625,39,39,111,17,267,32,0,68,51,581,136,119,20,333,478,304,92,273,2011,"36023970600"
"Census Tract 9707, Cortland County, New York","36","023","970700",369,157,2448,2651,31.8,27.8,33.2,4953,34,35,37,0,0,40,4977,122,4956,0,35,83,25,11,172,1002,33,3784,95,904,909,874,88,81,924,817,253,290,1831,76,11,167,203,174,1111,89,2962,1353,411,20,105,174,277,126,88,44,1508,330,90,195,200,386,192,11,0,49682,0.4468,2006,184,0,1983,774,0,47,177,31,208,40,21,66,161,822,143,113,177,1017,337,471,64,117,2011,"36023970700"
"Census Tract 9708, Cortland County, New York","36","023","970800",381,10,1202,1535,19.5,19.6,19.4,2573,93,19,0,9,43,0,2674,63,2702,9,0,16,10,5,968,106,70,1588,0,0,1172,19,0,11,1488,23,0,24,2633,0,0,0,0,9,2617,7,104,50,0,3,11,10,16,0,0,0,51,19,0,10,0,18,4,0,0,51250,0.3287,671,13,0,2053,877,0,0,21,11,125,0,17,9,0,388,73,24,3,78,382,168,0,43,2011,"36023970800"
"Census Tract 9709, Cortland County, New York","36","023","970900",374,146,2451,2519,31.1,30.9,31.3,4515,72,3,35,0,129,216,4620,350,4730,7,48,127,58,4,176,1099,9,3609,416,634,1011,784,94,183,790,826,244,150,1723,102,82,143,296,172,858,70,3035,1417,507,119,183,191,121,42,37,30,1423,477,88,136,232,204,91,0,0,28716,0.5139,2131,179,0,1671,679,130,130,212,44,260,78,0,101,241,503,289,98,45,530,619,559,210,213,2011,"36023970900"
"Census Tract 9710, Cortland County, New York","36","023","971000",359,147,2718,2814,42.7,37.9,48.5,5110,119,0,64,0,89,150,5384,148,5317,0,36,74,105,106,418,543,130,4309,232,797,879,1212,12,126,737,1176,281,224,1385,152,43,189,245,213,517,26,4007,1656,488,94,149,193,293,102,39,124,2011,601,221,267,179,334,261,46,24,52243,0.3772,2636,207,0,1735,884,85,60,248,11,380,91,68,101,141,1048,271,118,14,969,392,911,187,177,2011,"36023971000"
